scholarship_id,name,coverage,administering_agency,category_focus,education_level_min,education_level_max,income_limit_inr,caste_eligibility,gender_eligibility,disability_eligibility,domicile_requirement,age_limit_note,academic_requirement,application_portal,official_website,last_known_application_window,benefits_summary,documentation_required,notes,verify_2025
AI-MOMA-PMS,Post Matric Scholarship for Minorities,All India,Ministry of Minority Affairs,"Minority, Income",Post-Matric,PG,200000,Minority (as notified),All,Optional,India,As per MoMA,Studying in recognized institutions,NSP,https://scholarships.gov.in,Usually Sep–Nov,Maintenance + fees within limits,"Minority cert., income, marks",Includes renewals policy,yes
AI-MOMA-PRM,Pre Matric Scholarship for Minorities (Classes 9–10),All India,Ministry of Minority Affairs,"Minority, Income",Class 9,Class 10,100000,Minority (as notified),All,Optional,India,As per MoMA,Enrolled in class 9/10 in recognized school,NSP,https://scholarships.gov.in,Usually Aug–Oct,Maintenance + admission/tuition (limits),"Minority cert., income, school cert.",Classes 1–8 not covered centrally,yes
AI-INSPIRE-SHE,INSPIRE Scholarship for Higher Education (SHE),All India,Department of Science & Technology (DST),STEM Merit,UG,PG,NA,All,All,Optional,India,As per DST,Top merit in Class 12 (specified percentile) pursuing BSc/BS/Int. MSc,INSPIRE portal / NSP,https://online-inspire.gov.in/,Typically Nov–Jan,Annual scholarship + mentorship in basic sciences,"Class 12 marks/percentile, admission proof",Not for engineering/medicine,yes
AI-NFSC,National Fellowship for Scheduled Caste Students (PhD),All India,Ministry of Social Justice & Empowerment / UGC,"SC, Research",PG,PhD,NA,SC,All,Optional,India,As per UGC,NET-JRF or criteria as notified,UGC / NSP,https://ugc.ac.in/,As notified,Monthly fellowship + HRA + contingency,"Caste cert., admission/registration",For full-time research only,yes
AI-NFST,National Fellowship for ST Students (PhD),All India,Ministry of Tribal Affairs / UGC,"ST, Research",PG,PhD,NA,ST,All,Optional,India,As per UGC,NET-JRF or as notified,UGC / NSP,https://tribal.nic.in/,As notified,Fellowship + HRA + contingency,"ST cert., PhD registration",Full-time research,yes
AI-DEPwD-UMBRELLA,Pre/Post Matric & Top Class Scholarships for Persons with Disabilities,All India,Dept. of Empowerment of Persons with Disabilities,PwD,Pre-Matric,PG,As per scheme,All,All,Required (>=40% disability),India,As per scheme,Enrolled in recognized institutions; disability criteria,NSP,https://scholarships.gov.in,Aug–Nov (typical),Maintenance + tuition/fees + allowances,"Disability cert., income, school/college cert.",Multiple sub-schemes under umbrella,yes
TN-PMS-SC,Post Matric Scholarship for SC/SCA Students (Tamil Nadu),Tamil Nadu,"Adi Dravidar & Tribal Welfare Dept., TN","SC/SCA, Income",Post-Matric,PG/Professional,As per TN norms,SC/SCA,All,Optional,Tamil Nadu domicile,As per TN,Studying in recognized institutions,TN State / NSP,https://www.tn.gov.in/,State calendar,Maintenance + compulsory fees as per TN rules,"Caste, income, domicile, student cert.","Centrally sponsored, state-implemented",yes
TN-PMS-ST,Post Matric Scholarship for ST Students (Tamil Nadu),Tamil Nadu,"Adi Dravidar & Tribal Welfare Dept., TN","ST, Income",Post-Matric,PG/Professional,As per TN norms,ST,All,Optional,Tamil Nadu domicile,As per TN,Recognized institutions,TN State / NSP,https://www.tn.gov.in/,State calendar,Maintenance + fees,"ST cert., income, student cert.",CSS implemented by TN,yes
TN-PMS-BCMBC,Post Matric Scholarship for BC/MBC/DNC Students (Tamil Nadu),Tamil Nadu,"BC, MBC & DNC Welfare Dept., TN","BC/MBC/DNC, Income",Post-Matric,UG/PG/Professional,As per TN norms,BC/MBC/DNC,All,Optional,Tamil Nadu domicile,As per TN,Recognized institutions; income limits,TN e-district / Dept portal,https://www.tn.gov.in/,State calendar,Reimbursement of tuition/fees (limits) + allowance,"Community cert., income, bonafide cert.",Course-group based rates,yes
TN-MIN-POST,Post Matric Scholarship for Minorities (Tamil Nadu),Tamil Nadu,"Directorate of Minorities Welfare, TN","Minority, Income",Post-Matric,PG,As per MoMA/TN,Minority (as notified),All,Optional,Tamil Nadu domicile,As per TN,Recognized institutions,NSP / TN Minorities,https://www.tn.gov.in/,As per NSP window,Maintenance + fees within ceilings,"Minority cert., income, marks",State facilitation via NSP,yes
TN-MIN-PRE,Pre Matric Scholarship for Minorities (Classes 9–10) (Tamil Nadu),Tamil Nadu,"Directorate of Minorities Welfare, TN","Minority, Income",Class 9,Class 10,As per MoMA/TN,Minority (as notified),All,Optional,Tamil Nadu domicile,As per TN,Govt/govt-aided/recognized schools,NSP / TN,https://www.tn.gov.in/,As per NSP window,Maintenance + fees (limits),"Minority cert., income, school cert.",Follow MoMA guidelines,yes
TN-PUDHUMAIPENN,Moovalur Ramamirtham Ammaiyar Higher Education Assurance Scheme (Pudhumai Penn),Tamil Nadu,"Department of Social Welfare & Women Empowerment, TN",Women (Govt school alumni),UG/Diploma,UG/Diploma,NA,All,Female,Optional,Tamil Nadu schooling,As per scheme,Girls from Govt. schools joining higher education,TN portal,https://www.tn.gov.in/,As notified (ongoing),Monthly financial assistance during higher education,"School pass certificate, admission proof",For Govt. school alumni girls only,yes
TN-FIRST-GRAD,First Graduate Tuition Fee Concession (Tamil Nadu),Tamil Nadu,"Higher Education Dept., TN",First Graduate,UG,UG,NA,All,All,Optional,Tamil Nadu,At admission,First graduate in family admitted to UG (incl. engg),TNEA/TN HE portals,https://www.tn.gov.in/,At admission cycle,Tuition fee concession (full/partial),"First graduate certificate, community/income if applicable",Institution processes at admission,yes
TN-ADTW-PRE,Pre Matric Scholarship for SC/SCA Students (Tamil Nadu),Tamil Nadu,"Adi Dravidar & Tribal Welfare Dept., TN","SC/SCA, Income",Class 9,Class 10,As per TN norms,SC/SCA,All,Optional,Tamil Nadu domicile,As per TN,Govt/govt-aided/recognized schools,TN State / NSP,https://www.tn.gov.in/,State calendar,Maintenance + fees as per TN,"Caste cert., income, school cert.",CSS/state share applies,yes
TN-ST-HOSTEL,Hostel Facilities & Scholarship for SC/ST (TN),Tamil Nadu,"Adi Dravidar & Tribal Welfare Dept., TN",SC/ST,Post-Matric,UG/PG,NA,SC/ST,All,Optional,Tamil Nadu,As per TN,Enrolled students needing hostel support,Dept portal,https://www.tn.gov.in/,As notified,Free hostel + stipend as per rules,"Caste cert., admission, domicile",Facility-linked benefit,yes
TN-BCMBC-FEE,Tuition Fee Concession for BC/MBC/DNC (TN),Tamil Nadu,"BC, MBC & DNC Welfare Dept., TN","BC/MBC/DNC, Income",UG,UG,As per TN,BC/MBC/DNC,All,Optional,Tamil Nadu,At admission,Admitted to recognized UG programs,Dept/Institution,https://www.tn.gov.in/,Admission cycle,Full/partial fee concession per norms,Community & income certificate,Institution mediated,yes
TN-DCE-MERIT,"State Merit Scholarship (DCE, Tamil Nadu)",Tamil Nadu,"Directorate of Collegiate Education, TN",Merit,UG,PG,NA,All,All,Optional,Tamil Nadu,As per DCE,High merit in qualifying exam; studying in TN colleges,DCE portal,https://www.tn.gov.in/,Academic year start,Fixed annual stipend,"Marksheets, bonafide",Program-specific allocations,yes
TN-PWD-STIPEND,Scholarship/Stipend for Students with Disabilities (Tamil Nadu),Tamil Nadu,"Commissionerate for the Welfare of the Differently Abled, TN",PwD,Primary,PG,As per TN,All,All,Required (as per TN),Tamil Nadu,As per TN,Studying in recognized institutions,Dept portal / NSP,https://www.tn.gov.in/,As notified,Maintenance + fee concessions + devices (scheme-wise),"Disability cert., income, institution",Multiple sub-schemes by class/course,yes
TN-SANCTIONED-HOSTEL-BC,Hostel Facilities & Scholarship for BC/MBC/DNC Students (TN),Tamil Nadu,"BC, MBC & DNC Welfare Dept., TN",BC/MBC/DNC,Post-Matric,UG/PG,NA,BC/MBC/DNC,All,Optional,Tamil Nadu,As per TN,For students in sanctioned hostels,Dept portal,https://www.tn.gov.in/,As notified,Free hostel + stipend as per norms,"Community cert., admission",Facility-linked,yes
